Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,66006,1916,9,119.3,Y
IDCJAC0001,66006,1916,10,208.9,Y
IDCJAC0001,66006,1916,11,79,Y
IDCJAC0001,66006,1916,12,81.6,Y
IDCJAC0001,66006,1917,1,76.5,Y
IDCJAC0001,66006,1917,2,160,Y
IDCJAC0001,66006,1917,3,29.8,Y
IDCJAC0001,66006,1917,4,340.9,Y
IDCJAC0001,66006,1917,5,79.6,Y
IDCJAC0001,66006,1917,6,110.7,Y
IDCJAC0001,66006,1917,7,8.9,Y
IDCJAC0001,66006,1917,8,39.7,Y
IDCJAC0001,66006,1917,9,148.6,Y
IDCJAC0001,66006,1917,10,127.7,Y
IDCJAC0001,66006,1917,11,179.4,Y
IDCJAC0001,66006,1917,12,51.6,Y
IDCJAC0001,66006,1918,1,317.5,Y
IDCJAC0001,66006,1918,2,105.7,Y
IDCJAC0001,66006,1918,3,62.4,Y
IDCJAC0001,66006,1918,4,142,Y
IDCJAC0001,66006,1918,5,13.2,Y
IDCJAC0001,66006,1918,6,12.5,Y
IDCJAC0001,66006,1918,7,217.5,Y
IDCJAC0001,66006,1918,8,63.9,Y
IDCJAC0001,66006,1918,9,90.4,Y
IDCJAC0001,66006,1918,10,19.3,Y
IDCJAC0001,66006,1918,11,34.8,Y
IDCJAC0001,66006,1918,12,26.9,Y
IDCJAC0001,66006,1919,1,48,Y
IDCJAC0001,66006,1919,2,144.6,Y
IDCJAC0001,66006,1919,3,145.5,Y
IDCJAC0001,66006,1919,4,113.6,Y
IDCJAC0001,66006,1919,5,642.1,Y
IDCJAC0001,66006,1919,6,62.3,Y
IDCJAC0001,66006,1919,7,53.5,Y
IDCJAC0001,66006,1919,8,20.1,Y
IDCJAC0001,66006,1919,9,99,Y
IDCJAC0001,66006,1919,10,105.1,Y
IDCJAC0001,66006,1919,11,89.5,Y
IDCJAC0001,66006,1919,12,73.6,Y
IDCJAC0001,66006,1920,1,183.8,Y
IDCJAC0001,66006,1920,2,44.8,Y
IDCJAC0001,66006,1920,3,42.4,Y
IDCJAC0001,66006,1920,4,62.9,Y
IDCJAC0001,66006,1920,5,9.9,Y
IDCJAC0001,66006,1920,6,62.1,Y
IDCJAC0001,66006,1920,7,153.9,Y
IDCJAC0001,66006,1920,8,32.7,Y
IDCJAC0001,66006,1920,9,26.3,Y
IDCJAC0001,66006,1920,10,43.9,Y
IDCJAC0001,66006,1920,11,46.9,Y
IDCJAC0001,66006,1920,12,403.4,Y
IDCJAC0001,66006,1921,1,80.8,Y
IDCJAC0001,66006,1921,2,20.9,Y
